link,title,addr,dientich,bedroom,bathroom,price,day
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/sieu-pham-luxury-dat-346m-3-mat-tien-ngay-pho-tay-an-thuong-my-an-id22632910,"SIÊU PHẨM LUXURY_ ĐẤT 346m | 3 MẶT TIỀN_ ngay phố tây An Thượng, Mỹ An","Quận Ngũ Hành Sơn, Đà Nẵng",346 m2,0 PN,0 WC,65 tỷ,Hôm nay
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/ban-dat-80m2-mt-duong-nguyen-xuan-khoat-an-hai-bac-son-tra-da-nang-7-id22632928,"Bán đất 80m2 MT đường Nguyễn Xuân Khoát,An Hải Bắc, Sơn Trà,Đà Nẵng_7.","Quận Sơn Trà, Đà Nẵng",80 m2,0 PN,0 WC,7 tỷ 300 triệu,Hôm nay
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/h0t-ban-nha-2-tang-x125m2-duong-dang-nhu-lam-tho-quang-son-tra-5-25-id22655605,"H0T_Bán Nhà 2 tầng x125m2 đường Đặng Nhữ Lâm, Thọ Quang , Sơn Trà_5,25","Quận Sơn Trà, Đà Nẵng",125 m2,3 PN,2 WC,5 tỷ 250 triệu,Hôm nay
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/h0t-ban-dat-129m2-lo-goc-2-mat-tien-7m5-duong-pham-van-xao-man-thai-id22655727,"H0T_Bán đất 129m2 lô góc 2 mặt tiền 7m5 Đường Phạm Văn Xảo, Mân Thái,","Quận Sơn Trà, Đà Nẵng",129 m2,0 PN,0 WC,7 tỷ 500 triệu,Hôm nay
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-dat-biet-thu-250m2-duong-bui-ta-han-khue-my-ngu-hanh-son-da-nang-id22499165,"Bán đất Biệt thự 250m2 Đường Bùi Tá Hán, Khuê Mỹ,Ngũ Hành Sơn, Đà Nẵng","Quận Ngũ Hành Sơn, Đà Nẵng",250 m2,0 PN,0 WC,17 tỷ,Hôm nay
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/choang-chi-4-3ti-so-huu-lo-dat-121m2-duong-an-bac-4-canh-uy-ban-quan-id22592593,"CHOÁNG_chỉ 4.3Ti sỡ hữu lô đất 121m2 Đường An Bắc 4,cạnh Uỷ Ban Quận","Quận Ngũ Hành Sơn, Đà Nẵng",121 m2,0 PN,0 WC,4 tỷ 299 triệu,Hôm nay
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/h0t-ban-nha-4-tang-2-mat-tien-duong-phan-chau-trinh-hai-chau-da-nang-id22509003,"H0T_Bán Nhà 4 tầng 2 mặt tiền Đường Phan Châu Trinh, Hải Châu, Đà Nẵng","Quận Hải Châu, Đà Nẵng",73 m2,4 PN,4 WC,11 tỷ,Hôm nay
https://mogi.vn/quan-cam-le/mua-nha-mat-tien-pho/bat-ngo-3-tang-mat-tien-duong-5-5m-bau-tram-trung-gan-phan-dang-luu-d-id22656796,"BẤT NGỜ….3 tầng mặt tiền đường 5,5m Bàu Tràm Trung gần Phan Đăng Lưu,Đ","Quận Cẩm Lệ, Đà Nẵng",122 m2,5 PN,4 WC,6 tỷ 590 triệu,Hôm nay
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/hot-ban-dat-152m2-2-mat-tien-duong-khuc-hao-ho-si-tan-son-tra-da-n-id22655733,"HOT_Bán đất 152m2_2 mặt tiền đường Khúc Hạo - Hồ Sĩ Tân,Sơn Trà, Đà N","Quận Sơn Trà, Đà Nẵng",152 m2,0 PN,0 WC,10 tỷ 200 triệu,Hôm nay
https://mogi.vn/quan-hai-chau/mua-nha-hem-ngo/ban-nha-55m-kiet-oto-nguyen-tat-thanh-thanh-binh-hai-chau-3-4-id22633941,"Bán nhà 55m Kiệt oto Nguyễn Tất Thành, Thanh Bình, Hải Châu_3.4","Quận Hải Châu, Đà Nẵng",55 m2,2 PN,1 WC,3 tỷ 400 triệu,Hôm nay
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/h0t-ban-nha-2-tang-x100m2-duong-11-5m-duong-thi-xuan-quy-gan-cho-bac-id22635638,"H0T_Bán nhà 2 tầng x100m2 đường 11.5m Dương Thị Xuân Quý, gần chợ Bắc","Quận Ngũ Hành Sơn, Đà Nẵng",100 m2,3 PN,2 WC,10 tỷ 300 triệu,Hôm nay
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/h0t-ban-dat-231m2-2-mat-tien-duong-ho-si-tan-va-duong-lam-son-tra-id22655730,"H0T_Bán đất 231m2_2 mặt tiền đường Hồ Sĩ Tân và Dương Lâm, Sơn Trà","Quận Sơn Trà, Đà Nẵng",231 m2,0 PN,0 WC,11 tỷ 200 triệu,Hôm nay
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/hot-ban-dat-mat-tien-an-duong-vuong-gan-cau-tran-thi-ly-du-an-sunco-id22636032,"HOT_Bán đất  Mặt tiền An Dương Vương, gần cầu Trần Thị Lý, Dự Án SunCo","Quận Ngũ Hành Sơn, Đà Nẵng",79 m2,0 PN,0 WC,7 tỷ 500 triệu,Hôm nay
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/vip-can-ban-lo-dat-bien-193m2-mt-tran-bach-dang-sat-bien-my-khe-son-id22636042,"VIP_Cần Bán lô đất Biển 193m2 Mt Trần Bạch Đằng ,Sát Biển Mỹ Khê, Sơn","Quận Sơn Trà, Đà Nẵng",193 m2,0 PN,0 WC,38 tỷ,Hôm nay
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/h0t-ban-dat-126m2-duong-ho-sy-tan-nai-hien-dong-son-tra-co-dong-tie-id22636063,"H0T_Bán đất 126m2 Đường Hồ Sỹ Tân, Nại Hiên Đông, Sơn Trà, có dòng tiề","Quận Sơn Trà, Đà Nẵng",126 m2,0 PN,0 WC,5 tỷ 140 triệu,Hôm nay
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/h0t-ban-dat-biet-thu-150m2-duong-khuc-thua-du-nai-hien-dong-son-tra-7-id22636055,"H0T_Bán đất biệt thự 150m2 đường Khúc Thừa Dụ,Nại Hiên Đông, Sơn Trà_7","Quận Sơn Trà, Đà Nẵng",150 m2,0 PN,0 WC,7 tỷ 150 triệu,Hôm nay
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/h0t-ban-dat-bien-90m2-duong-an-thuong-3-vi-tri-vip-khu-pho-tay-my-an-id22636994,"H0T_Bán đất biển 90m2 Đường An Thượng 3, vị trí VIP khu phố Tây_Mỹ An,","Quận Ngũ Hành Sơn, Đà Nẵng",90 m2,0 PN,0 WC,19 tỷ,Hôm nay
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/hot-ban-nha-mat-tien-an-hai-6-gan-the-lu-va-cho-an-hai-bac-son-tra-5-id22636997,"Hot_Bán nhà Mặt tiền An Hải 6, gần Thế Lữ và chợ An Hải Bắc, Sơn Trà 5","Quận Sơn Trà, Đà Nẵng",92 m2,2 PN,1 WC,5 tỷ 100 triệu,Hôm nay
https://mogi.vn/quan-ngu-hanh-son/mua-dat-nen-du-an/ban-dat-131m2-lo-goc-2-mat-tien-duong-doan-khue-da-phuoc-8-nam-viet-id22641247,"Bán đất 131m2 lô góc 2 mặt tiền đường Đoàn Khuê - Đa Phước 8, Nam Việt","Quận Ngũ Hành Sơn, Đà Nẵng",131 m2,0 PN,0 WC,9 tỷ 700 triệu,Hôm nay
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/sieu-pham-ban-nha-3-tang-x-100m2-mt-nguyen-thong-sat-cau-rong-vi-tr-id22641946,"SIÊU PHẨM _Bán nhà 3 tầng x 100m2 MT Nguyễn Thông, sát cầu Rồng, vị tr","Quận Sơn Trà, Đà Nẵng",100 m2,4 PN,4 WC,10 tỷ,Hôm nay
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/sieu-pham-ban-nha-2tang-x-112m2-duong-le-van-hien-kinh-doanh-tot-nhson-id22641785,"SIÊU PHẨM_Bán nhà 2Tang X 112m2 Đường Lê Văn Hiến,Kinh Doanh TỐT,NHSon","Quận Ngũ Hành Sơn, Đà Nẵng",112 m2,2 PN,2 WC,7 tỷ 900 triệu,Hôm nay
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/h0t-ban-nha-2-tang-le-thi-hong-gam-p-hoa-cuong-nam-q-hai-chau-4-9t-id22652101,"H0T_Bán nhà 2 tầng Lê Thị Hồng Gấm- P. Hoà Cường Nam - Q.Hải Châu_4,9T","Quận Hải Châu, Đà Nẵng",60 m2,4 PN,2 WC,4 tỷ 900 triệu,Hôm nay
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/dat-to-can-ban-342m2-kiet-oto-phan-hanh-son-my-an-ngu-hanh-son-da-na-id22642521,"ĐẤT TO CẦN BÁN_342m2 kiệt oto Phan Hành Sơn,Mỹ An, Ngũ Hành Sơn, Đà Nẵ","Quận Ngũ Hành Sơn, Đà Nẵng",342 m2,0 PN,0 WC,13 tỷ,Hôm nay
https://mogi.vn/quan-cam-le/mua-nha-mat-tien-pho/hot-hot-ban-nha-100m2-duong-mac-dang-dung-hoa-xuan-cam-le-4-4ti-id22652647,"HOT_ HOT_Bán nhà 100m2 Đường Mạc Đăng Dung, Hòa Xuân, Cẩm Lệ_4,4Ti","Quận Cẩm Lệ, Đà Nẵng",100 m2,3 PN,2 WC,4 tỷ 400 triệu,Hôm nay
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/h0t-ban-nha-2-tang-x-115m2-duong-nguyen-thi-dinh-15m-son-tra-da-nang-id22488929,"H0T_Bán nhà 2 Tầng x 115m2 Đường Nguyễn Thị Định (15m)Sơn Trà,Đà Nẵng_","Quận Sơn Trà, Đà Nẵng",115 m2,0 PN,0 WC,9 tỷ 500 triệu,Hôm nay
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/h0t-ban-dat-113m2-mt-bui-ta-han-vi-tri-dep-nam-viet-a-khue-my-7-8t-id22484328,"H0T_Bán đất 113m2 MT Bùi Tá Hán, vị trí đẹp Nam Việt Á, Khuê Mỹ,7.8T","Quận Ngũ Hành Sơn, Đà Nẵng",114 m2,0 PN,0 WC,7 tỷ 800 triệu,Hôm nay
https://mogi.vn/quan-hai-chau/mua-dat-tho-cu/ban-dat-161m2-k-le-hong-phong-trung-tam-tp-da-nang-7-95ti-id22624081,">>Bán đất 161m2 K/Lê Hồng Phong,trung tâm TP Đà Nẵng <<< 7.95Ti","Quận Hải Châu, Đà Nẵng",161 m2,0 PN,0 WC,7 tỷ 949 triệu,Hôm nay
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/h0t-ban-nha-98m2-duong-pham-khiem-ich-khue-my-ngu-hanh-son-4-59t-id22626079,"H0T_Bán nhà 98m2 Đường Phạm Khiêm Ích , Khuê Mỹ, Ngũ Hành Sơn_4.59T","Quận Ngũ Hành Sơn, Đà Nẵng",98 m2,2 PN,1 WC,4 tỷ 590 triệu,Hôm nay
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-dat-85m2-duong-my-da-tay-10-khu-nam-viet-a-ngu-hanh-son-3-45-id22630658,"Bán đất 85m2 đường mỹ đa tây 10 - khu Nam Việt Á ,Ngũ Hành Sơn_3.45","Quận Ngũ Hành Sơn, Đà Nẵng",85 m2,0 PN,0 WC,3 tỷ 450 triệu,Hôm nay
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/h0t-ban-nha-4-tang-mt-duong-le-thanh-nghi-hoa-cuong-bac-hai-chau-11-9-id22628840,"H0T_Bán nhà 4 tầng MT Đường  Lê Thanh Nghị,Hòa Cường Bắc,Hải Châu_11.9","Quận Hải Châu, Đà Nẵng",87 m2,5 PN,6 WC,11 tỷ 900 triệu,Hôm nay
